平成２７年　社会医療診療行為別統計　平成２７年６月審査分,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第７表　医科診療　件数・診療実日数・実施件数・回数・点数，入院－入院外、傷病（中分類）、診療行為（大分類）別,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注：１）「件数」は、明細書の数である。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注：２）「実施件数」は、当該診療行為が実施された明細書の数である。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注：３）「回数」は、当該診療行為が実施された延べ算定回数である。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注：４）総数には、「療養担当手当等」、「合算薬剤料」、「補正点数」を含む。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注：５）総数には、入院時食事療養等を含まない。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注：６）総数には、「ⅩⅩ　傷病及び死亡の外因」、「ⅩⅩⅠ　健康状態に影響を及ぼす要因及び保健サービスの利用」、「ⅩⅩⅡ　特殊目的用コード」、「不詳」を含む。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,件数,診療実日数,総数,,,初   ・  再 診,,,医 学 管 理 等,,,在　宅　医　療,,,検　　　　　査,,,画　像　診　断,,,投　　　　　薬,,,注　　　　　射,,,リハビリテーション,,,精神科専門療法,,,処　　　　　置,,,手　　　　　術,,,麻　　　　　酔,,,放 射 線 治 療,,,病  理  診  断,,,入  院  料  等,,,診断群分類による包括評価等,,,入院時食事療養等(別掲),,
,　　その他の心疾患,80443 ,1207872 ,80443 ,6671775 ,5798684878 ,12883 ,12889 ,5273492 ,49228 ,110658 ,33548870 ,3040 ,3115 ,17946061 ,40576 ,784685 ,125300565 ,33964 ,131414 ,36790156 ,43943 ,3286129 ,69914335 ,19979 ,171422 ,80160144 ,29451 ,600303 ,132808016 ,1336 ,7597 ,1545645 ,23122 ,310457 ,105230735 ,14641 ,33487 ,1882847545 ,5550 ,8149 ,76967173 ,656 ,1354 ,592710 ,3424 ,4421 ,1930564 ,75874 ,697818 ,1261485578 ,43942 ,507307 ,1965915744 ,74182 ,3296015 ,2160512588 
,　　くも膜下出血,10072 ,235088 ,10072 ,975571 ,955081634 ,1641 ,1641 ,724992 ,4349 ,8984 ,3194717 ,92 ,121 ,121666 ,2710 ,45560 ,3664404 ,4021 ,10835 ,8802187 ,2455 ,165756 ,2262582 ,1269 ,11839 ,6687374 ,7046 ,428743 ,105673506 ,69 ,508 ,100000 ,2173 ,60066 ,10949278 ,1778 ,3761 ,214718725 ,1405 ,2551 ,22870182 ,46 ,80 ,74220 ,70 ,88 ,39690 ,9629 ,182611 ,320914558 ,3138 ,52382 ,254197407 ,9226 ,709301 ,420079466 
,　　脳内出血,36474 ,860148 ,36474 ,4299114 ,2521399105 ,5139 ,5142 ,2127139 ,12548 ,24695 ,9044469 ,406 ,439 ,574258 ,7611 ,162118 ,12364285 ,11426 ,34215 ,15841950 ,9234 ,616200 ,8449741 ,3933 ,44022 ,16598795 ,27796 ,2362505 ,583521863 ,273 ,1720 ,338360 ,7133 ,183089 ,39946457 ,1785 ,3079 ,61267294 ,882 ,1438 ,11881949 ,39 ,74 ,328830 ,284 ,388 ,166990 ,35623 ,729096 ,1299951635 ,8650 ,130803 ,458519598 ,34392 ,2646576 ,1570627348 
,　　脳　梗　塞,92050 ,1988076 ,92050 ,9928458 ,5775603963 ,15200 ,15228 ,5941102 ,36201 ,78512 ,26949768 ,1214 ,1223 ,2249780 ,22175 ,516561 ,42248780 ,32621 ,96294 ,49473048 ,31939 ,2116174 ,34255159 ,13572 ,162125 ,93367657 ,67394 ,4590158 ,1142142095 ,879 ,5366 ,1038265 ,16519 ,351687 ,74780099 ,3100 ,5402 ,107960633 ,832 ,1374 ,7863480 ,46 ,108 ,158970 ,805 ,1173 ,471708 ,89602 ,1618140 ,2803222116 ,27384 ,368753 ,1381794219 ,87969 ,6000005 ,3552018338 
,　　脳動脈硬化（症）,132 ,2456 ,132 ,15101 ,5192557 ,14 ,14 ,4263 ,63 ,149 ,45130 ,6 ,6 ,13245 ,94 ,2867 ,319321 ,87 ,407 ,169082 ,81 ,6565 ,95732 ,64 ,573 ,148869 ,43 ,1493 ,341213 ,8 ,53 ,10050 ,38 ,531 ,172747 ,9 ,15 ,373617 ,-,-,-,-,-,-,3 ,6 ,3070 ,129 ,2389 ,3382070 ,5 ,33 ,114148 ,128 ,7621 ,4609816 
,　　その他の脳血管疾患,14643 ,210903 ,14643 ,1229159 ,964369763 ,2165 ,2167 ,833283 ,8177 ,16834 ,5665424 ,137 ,123 ,274596 ,4882 ,99283 ,8937142 ,8520 ,22858 ,21856965 ,7330 ,442228 ,7070485 ,3084 ,25767 ,15304877 ,6832 ,352349 ,88215315 ,165 ,1257 ,273245 ,2931 ,47771 ,11277573 ,3753 ,4638 ,278172804 ,2028 ,2639 ,20577730 ,24 ,38 ,183190 ,312 ,394 ,189780 ,13816 ,149605 ,265093771 ,7464 ,61103 ,240442557 ,14215 ,590201 ,368999824 
,　　動脈硬化（症）,6213 ,79142 ,6213 ,467962 ,473197790 ,337 ,338 ,105990 ,4251 ,9038 ,2875002 ,201 ,173 ,502976 ,2565 ,47025 ,8492370 ,1962 ,5854 ,2850691 ,3487 ,242029 ,5112859 ,1267 ,10892 ,4727151 ,1871 ,43871 ,9452446 ,66 ,472 ,90550 ,2118 ,22526 ,21713142 ,3149 ,5112 ,206918444 ,922 ,1418 ,7051525 ,46 ,75 ,26880 ,157 ,205 ,96320 ,5608 ,36104 ,62244621 ,4308 ,42797 ,140957108 ,6082 ,212524 ,142898712 
,　　痔　核,6304 ,42206 ,6304 ,275142 ,106125674 ,226 ,226 ,73967 ,2499 ,4696 ,1940302 ,20 ,21 ,76110 ,3182 ,23158 ,3263152 ,808 ,2967 ,737538 ,5574 ,165750 ,2135711 ,2869 ,8519 ,3604425 ,253 ,10493 ,2204723 ,100 ,1030 ,212955 ,2736 ,14643 ,1669681 ,3042 ,3459 ,20886894 ,2315 ,3214 ,3354553 ,11 ,22 ,56730 ,594 ,1118 ,588180 ,5094 ,30858 ,52785143 ,936 ,4968 ,12535610 ,4810 ,89117 ,56093068 
,　　低血圧（症）,723 ,8330 ,723 ,49220 ,24153687 ,156 ,156 ,70337 ,367 ,730 ,257317 ,11 ,10 ,23999 ,335 ,5485 ,632753 ,298 ,845 ,273410 ,381 ,25011 ,438731 ,189 ,1497 ,476961 ,151 ,4449 ,985178 ,42 ,330 ,69370 ,171 ,2195 ,873419 ,62 ,92 ,1177314 ,47 ,76 ,272021 ,1 ,6 ,12600 ,29 ,62 ,34670 ,698 ,6276 ,10830975 ,363 ,2000 ,7724632 ,689 ,22104 ,14156836 
,　　その他の循環器系の疾患,21576 ,269750 ,21576 ,1444296 ,1983918772 ,3328 ,3332 ,1369960 ,14718 ,32360 ,10280274 ,426 ,444 ,1190382 ,9111 ,137263 ,19151631 ,9270 ,25759 ,10133881 ,11885 ,673765 ,12944177 ,4022 ,28150 ,16760632 ,7606 ,190068 ,44711808 ,339 ,1428 ,298400 ,4252 ,49885 ,25117991 ,8898 ,22035 ,844926335 ,4946 ,9000 ,77919543 ,473 ,982 ,508230 ,1267 ,1547 ,806120 ,19687 ,102670 ,215299245 ,15208 ,165352 ,702509450 ,20317 ,685522 ,457524344 
,Ⅹ　呼吸器系の疾患,190531 ,2745793 ,190531 ,14012751 ,8442613392 ,40291 ,40331 ,16607154 ,98385 ,196130 ,63089203 ,7176 ,7388 ,41536068 ,92619 ,1903667 ,158816668 ,84391 ,317973 ,92607567 ,110718 ,5525437 ,97387820 ,56225 ,615451 ,280149784 ,63583 ,1501821 ,315452292 ,2383 ,12885 ,2633590 ,55153 ,1089960 ,214010348 ,15310 ,31895 ,306569914 ,7737 ,14676 ,71089864 ,345 ,1187 ,1609768 ,12183 ,17123 ,6879559 ,178425 ,1688071 ,3127745479 ,102493 ,1048115 ,3645230512 ,169523 ,6534258 ,4106449960 
,　　急性鼻咽頭炎［かぜ］<感冒>,800 ,9252 ,800 ,54533 ,20004448 ,145 ,145 ,68605 ,314 ,619 ,225481 ,7 ,8 ,26424 ,350 ,4549 ,420957 ,180 ,636 ,198741 ,631 ,30297 ,434815 ,241 ,1291 ,753524 ,132 ,6133 ,1258474 ,59 ,624 ,129810 ,173 ,1625 ,364993 ,60 ,66 ,1387427 ,44 ,65 ,143056 ,1 ,1 ,1320 ,12 ,26 ,13390 ,614 ,7614 ,11101539 ,205 ,834 ,3475890 ,592 ,23063 ,14428552 
,　　急性咽頭炎及び急性扁桃炎,4987 ,34886 ,4987 ,183078 ,115172705 ,1994 ,1997 ,865731 ,2377 ,3876 ,1243511 ,34 ,34 ,128946 ,1812 ,21257 ,2200771 ,1060 ,2897 ,844921 ,3583 ,93622 ,1474480 ,1086 ,6055 ,3575694 ,279 ,9799 ,2037053 ,80 ,848 ,161610 ,524 ,7477 ,1332189 ,236 ,466 ,4459519 ,208 ,403 ,1519688 ,3 ,43 ,62370 ,129 ,185 ,100000 ,4457 ,18411 ,33608196 ,3442 ,15688 ,61507086 ,4570 ,79658 ,51400352 
,　　その他の急性上気道感染症,4150 ,32113 ,4150 ,166084 ,98956331 ,1597 ,1598 ,723341 ,1811 ,3010 ,988043 ,32 ,32 ,135769 ,1846 ,17252 ,2174611 ,921 ,2736 ,784708 ,2819 ,84481 ,1296171 ,873 ,5081 ,2750165 ,334 ,12779 ,2629834 ,88 ,993 ,189260 ,571 ,6311 ,1146083 ,178 ,295 ,4038144 ,139 ,226 ,705186 ,4 ,63 ,92030 ,68 ,130 ,68730 ,3748 ,18723 ,32554874 ,2693 ,12370 ,48575324 ,3440 ,73038 ,46803596 
,　　肺　　炎,74866 ,1071698 ,74866 ,6221945 ,3160810255 ,16450 ,16461 ,6575213 ,37788 ,75312 ,23416847 ,2457 ,2485 ,12563679 ,40703 ,1029220 ,81095739 ,40451 ,175601 ,51383278 ,47665 ,2409402 ,40304173 ,29741 ,343855 ,159073974 ,24020 ,556052 ,117199431 ,723 ,2980 ,625125 ,26932 ,526802 ,85003967 ,3220 ,7498 ,31582127 ,409 ,715 ,2119570 ,118 ,305 ,363320 ,3072 ,4897 ,1446910 ,71158 ,729266 ,1341675926 ,34761 ,340904 ,1205956143 ,67301 ,2491104 ,1588032276 
,　　急性気管支炎及び急性細気管支炎,8968 ,76150 ,8968 ,407775 ,249946758 ,2643 ,2644 ,1253718 ,4191 ,7232 ,2247761 ,196 ,193 ,1164872 ,2798 ,40673 ,3467760 ,2239 ,5963 ,1587203 ,6494 ,216545 ,3086806 ,2075 ,13872 ,5131415 ,1085 ,23349 ,4936331 ,75 ,587 ,110315 ,1372 ,20746 ,3733264 ,165 ,274 ,3051121 ,93 ,155 ,375820 ,3 ,4 ,3110 ,95 ,165 ,70635 ,7969 ,40513 ,79561130 ,6055 ,34838 ,140026864 ,7581 ,173299 ,111754458 
,　　アレルギ－性鼻炎,1130 ,14370 ,1130 ,93948 ,41293625 ,49 ,49 ,17143 ,456 ,994 ,451705 ,55 ,54 ,126765 ,576 ,9710 ,1146570 ,277 ,1511 ,467645 ,871 ,51377 ,1093714 ,405 ,2379 ,1792278 ,211 ,8107 ,1740057 ,114 ,1173 ,235640 ,362 ,3907 ,686231 ,241 ,668 ,9747735 ,205 ,350 ,1373729 ,1 ,11 ,25330 ,52 ,108 ,65060 ,1011 ,12978 ,20680607 ,94 ,572 ,1643416 ,908 ,36353 ,23348314 
,　　慢性副鼻腔炎,2353 ,18146 ,2353 ,109004 ,142695857 ,61 ,61 ,23182 ,1670 ,3501 ,1269665 ,19 ,18 ,54476 ,866 ,6482 ,1058766 ,278 ,1016 ,358113 ,1767 ,62389 ,1163414 ,369 ,1532 ,1573276 ,101 ,3891 ,839267 ,31 ,199 ,39310 ,380 ,3935 ,705707 ,1597 ,4142 ,75586157 ,1507 ,2526 ,13168634 ,6 ,21 ,17676 ,1153 ,1305 ,783488 ,2119 ,6778 ,12733112 ,1767 ,11207 ,33321604 ,2285 ,43287 ,28230096 
,　　急性又は慢性と明示されない気管支炎,1252 ,22306 ,1252 ,129911 ,47362297 ,101 ,101 ,36466 ,448 ,927 ,327191 ,27 ,22 ,101369 ,749 ,15986 ,1186817 ,522 ,2612 ,688532 ,849 ,63421 ,984495 ,564 ,5306 ,2093301 ,353 ,9185 ,1898188 ,66 ,497 ,80695 ,509 ,9551 ,1562080 ,106 ,166 ,2839475 ,46 ,104 ,289429 ,4 ,14 ,72294 ,30 ,75 ,37150 ,1192 ,20774 ,31683383 ,142 ,1170 ,3401226 ,1119 ,61680 ,37500834 
,　　慢性閉塞性肺疾患,9301 ,197015 ,9301 ,792387 ,453032616 ,830 ,830 ,296150 ,4143 ,9472 ,3032027 ,819 ,854 ,6340937 ,3842 ,77424 ,6353075 ,3503 ,13214 ,4027748 ,3986 ,312300 ,5890189 ,1883 ,20785 ,9611643 ,4509 ,93310 ,18707602 ,162 ,1050 ,190540 ,2850 ,65390 ,17091785 ,251 ,494 ,4817610 ,94 ,233 ,624175 ,5 ,47 ,55970 ,229 ,387 ,131468 ,9101 ,171392 ,290197600 ,2133 ,25163 ,85381708 ,8922 ,618340 ,358746860 
,　　喘　　息,11077 ,104062 ,11077 ,604904 ,318711510 ,2788 ,2788 ,1391683 ,5774 ,10868 ,3425680 ,232 ,219 ,1208487 ,4043 ,64163 ,5450106 ,3003 ,9593 ,2684190 ,8229 ,335621 ,6341177 ,2822 ,18338 ,6971561 ,1389 ,29809 ,6140979 ,128 ,1118 ,221335 ,2403 ,28662 ,4789016 ,173 ,297 ,3986228 ,113 ,262 ,541268 ,6 ,20 ,119030 ,201 ,373 ,132340 ,9910 ,64104 ,121722547 ,6604 ,38637 ,153598409 ,10276 ,268135 ,168802820 
,　　その他の呼吸器系の疾患,71647 ,1165795 ,71647 ,5249182 ,3794626990 ,13633 ,13657 ,5355922 ,39413 ,80319 ,26461292 ,3298 ,3469 ,19684344 ,35034 ,616951 ,54261496 ,31957 ,102194 ,29582488 ,33824 ,1865982 ,35318386 ,16166 ,196957 ,86822953 ,31170 ,749407 ,158065076 ,857 ,2816 ,649950 ,19077 ,415554 ,97595033 ,9083 ,17529 ,165074371 ,4879 ,9637 ,50229309 ,194 ,658 ,797318 ,7142 ,9472 ,4030388 ,67146 ,597518 ,1152226565 ,44597 ,566732 ,1908342842 ,62529 ,2666301 ,1677401802 
,ⅩⅠ　消化器系の疾患,188991 ,1945537 ,188991 ,10039083 ,7370445757 ,35453 ,35469 ,14692643 ,95580 ,190501 ,64162337 ,2700 ,2598 ,9355684 ,89536 ,1237943 ,159141575 ,72787 ,240338 ,81232243 ,106110 ,4772573 ,80158378 ,51163 ,383243 ,182796947 ,27236 ,696770 ,147470349 ,3345 ,25036 ,5009568 ,36414 ,371042 ,87833814 ,58070 ,94086 ,1058521902 ,26445 ,55084 ,220565515 ,924 ,2143 ,2555206 ,35190 ,52080 ,27045198 ,177143 ,1052386 ,2357858550 ,93599 ,827245 ,2871124734 ,168229 ,4079076 ,2654477934 
,　　う　蝕,17 ,275 ,17 ,1160 ,797067 ,-,-,-,10 ,17 ,5650 ,-,-,-,4 ,76 ,8864 ,3 ,22 ,3736 ,8 ,573 ,9954 ,3 ,37 ,16875 ,5 ,45 ,9330 ,-,-,-,3 ,95 ,12870 ,1 ,16 ,24000 ,2 ,4 ,16087 ,-,-,-,-,-,-,16 ,230 ,501235 ,10 ,45 ,188466 ,15 ,660 ,430250 
,　　歯肉炎及び歯周疾患,132 ,3277 ,132 ,17822 ,7232225 ,4 ,4 ,1608 ,33 ,60 ,17285 ,-,-,-,41 ,709 ,42775 ,27 ,72 ,16491 ,119 ,9000 ,174543 ,17 ,90 ,20498 ,96 ,965 ,177257 ,7 ,71 ,12850 ,68 ,3570 ,480694 ,3 ,3 ,6197 ,2 ,11 ,9075 ,-,-,-,1 ,1 ,400 ,128 ,3169 ,5934284 ,17 ,97 ,338268 ,126 ,9394 ,6118522 
,　　その他の歯及び歯の支持組織の障害,121 ,1873 ,121 ,9886 ,5594574 ,11 ,11 ,4232 ,57 ,111 ,38399 ,2 ,1 ,7037 ,50 ,693 ,63605 ,38 ,197 ,64905 ,81 ,5552 ,117548 ,31 ,139 ,68394 ,22 ,586 ,121081 ,24 ,253 ,53860 ,31 ,423 ,109395 ,31 ,67 ,1098803 ,26 ,39 ,357587 ,-,-,-,2 ,3 ,2100 ,109 ,1544 ,2571541 ,39 ,267 ,916087 ,112 ,5071 ,3221850 
,　　胃潰瘍及び十二指腸潰瘍,12106 ,148185 ,12106 ,895039 ,515970415 ,3680 ,3683 ,1556080 ,7184 ,15029 ,4557400 ,181 ,185 ,593077 ,8628 ,107142 ,18118793 ,5303 ,16776 ,5713835 ,8566 ,461053 ,7158604 ,3692 ,32780 ,14315384 ,2389 ,61274 ,12978199 ,282 ,2160 ,445820 ,2370 ,28053 ,7039341 ,4759 ,14325 ,65205900 ,718 ,1580 ,6746999 ,210 ,386 ,216160 ,2609 ,3741 ,1943230 ,11658 ,88063 ,167763051 ,6488 ,58793 ,201633000 ,10794 ,327023 ,213196238 
,　　胃炎及び十二指腸炎,6320 ,75690 ,6320 ,471319 ,182567183 ,725 ,725 ,292150 ,2451 ,5059 ,2096055 ,86 ,83 ,316657 ,4037 ,54076 ,7144378 ,2412 ,11254 ,3500960 ,4651 ,242898 ,3784162 ,2858 ,17157 ,6916412 ,1127 ,38931 ,8006044 ,372 ,3799 ,749510 ,1970 ,19856 ,3927779 ,1186 ,1578 ,19944132 ,748 ,1104 ,2951104 ,11 ,77 ,308946 ,710 ,1564 ,873970 ,6002 ,69425 ,109738046 ,689 ,3703 ,11878987 ,5573 ,197096 ,121697350 
,　　アルコ－ル性肝疾患,2319 ,31521 ,2319 ,166156 ,93008906 ,492 ,493 ,188985 ,1351 ,2832 ,827323 ,59 ,59 ,140483 ,1204 ,18070 ,1946519 ,933 ,1890 ,855925 ,1367 ,94280 ,2226248 ,499 ,4846 ,1269963 ,407 ,7533 ,1579901 ,152 ,749 ,182440 ,284 ,2483 ,559217 ,523 ,1082 ,4565009 ,17 ,18 ,51753 ,17 ,26 ,3410 ,254 ,311 ,120350 ,2141 ,14002 ,26049347 ,1580 ,17433 ,52467449 ,2213 ,83146 ,57257654 
,　　慢性肝炎（アルコール性のものを除く）,690 ,12676 ,690 ,73636 ,23904705 ,52 ,52 ,17194 ,255 ,526 ,187784 ,12 ,9 ,31197 ,475 ,10504 ,993464 ,349 ,1873 ,600506 ,464 ,35178 ,545669 ,409 ,4376 ,1470124 ,125 ,3474 ,718548 ,58 ,772 ,165955 ,232 ,4010 ,651787 ,51 ,89 ,887625 ,20 ,53 ,138682 ,-,-,-,65 ,156 ,87750 ,683 ,12562 ,17286981 ,1 ,2 ,5506 ,652 ,34726 ,21525646 
,　　肝硬変（アルコール性のものを除く）,3271 ,53594 ,3271 ,289801 ,153918988 ,269 ,269 ,91938 ,1881 ,4111 ,1298638 ,133 ,125 ,377615 ,1751 ,29479 ,3077078 ,1269 ,3385 ,1299172 ,1799 ,160636 ,4661287 ,810 ,9967 ,3415068 ,845 ,17926 ,3712613 ,91 ,636 ,124320 ,648 ,7084 ,1629779 ,1015 ,2041 ,10737861 ,41 ,61 ,210552 ,32 ,46 ,10120 ,481 ,578 ,239250 ,3011 ,28229 ,46403579 ,1996 ,25228 ,76630118 ,3149 ,144461 ,96877444 
,　　その他の肝疾患,8489 ,124100 ,8489 ,674218 ,364921792 ,1200 ,1199 ,424942 ,4484 ,9035 ,3015883 ,220 ,204 ,500546 ,4948 ,93412 ,9216496 ,3678 ,11181 ,4266433 ,5097 ,335999 ,7339425 ,2928 ,26594 ,10390966 ,1687 ,37480 ,7890594 ,490 ,3707 ,673335 ,2198 ,26826 ,6626624 ,1446 ,2511 ,25232257 ,386 ,739 ,2232827 ,33 ,92 ,83230 ,1132 ,1680 ,878900 ,7971 ,76280 ,123872597 ,4095 ,47265 ,162276597 ,7952 ,314321 ,207590734 
,　　胆石症及び胆のう炎,23069 ,258064 ,23069 ,1177816 ,1208322807 ,4691 ,4692 ,1925206 ,15517 ,32302 ,11046359 ,267 ,258 ,756752 ,9428 ,154940 ,16955554 ,10161 ,31084 ,11581965 ,12122 ,489570 ,6433682 ,4880 ,43031 ,18755803 ,3817 ,78426 ,16753524 ,174 ,703 ,144795 ,4164 ,46236 ,9001022 ,12457 ,15870 ,329276302 ,6396 ,14237 ,64605552 ,32 ,69 ,39290 ,7078 ,8720 ,4240130 ,21381 ,105195 ,210105180 ,16989 ,152408 ,506707371 ,21104 ,511052 ,337402194 
,　　膵疾患,5826 ,70105 ,5826 ,335170 ,285497123 ,1538 ,1538 ,667291 ,3701 ,7547 ,2213857 ,147 ,134 ,361068 ,3176 ,45803 ,5512794 ,3316 ,7097 ,3415326 ,3086 ,162258 ,2634459 ,1405 ,13176 ,6236686 ,797 ,17131 ,3571728 ,102 ,443 ,90480 ,711 ,6644 ,2101452 ,1192 ,1849 ,29905532 ,189 ,464 ,1511381 ,22 ,46 ,68390 ,699 ,1015 ,443270 ,5374 ,24070 ,49310986 ,4337 ,45927 ,177452143 ,4981 ,123137 ,84717118 
,　　その他の消化器系の疾患,126631 ,1166177 ,126631 ,5927060 ,4528709972 ,22791 ,22803 ,9523017 ,58656 ,113872 ,38857704 ,1593 ,1540 ,6271252 ,55794 ,723039 ,96061255 ,45298 ,155507 ,49912989 ,68750 ,2775576 ,45072797 ,33631 ,231050 ,119920774 ,15919 ,432999 ,91951530 ,1593 ,11743 ,2366203 ,23735 ,225762 ,55693854 ,35406 ,54655 ,571638284 ,17900 ,36774 ,141733916 ,567 ,1401 ,1825660 ,22159 ,34311 ,18215848 ,118669 ,629617 ,1598321723 ,57358 ,476077 ,1680630742 ,111558 ,2328989 ,1504442934 
,ⅩⅡ　皮膚及び皮下組織の疾患,35156 ,613403 ,35156 ,3174051 ,1541304951 ,4280 ,4287 ,1561453 ,15576 ,32132 ,11238454 ,877 ,852 ,2547494 ,14960 ,346847 ,26522106 ,11265 ,48871 ,13678729 ,22618 ,1424710 ,29280627 ,10242 ,108779 ,61918520 ,11031 ,320544 ,66541016 ,1743 ,14851 ,2971880 ,12855 ,250370 ,61944023 ,5277 ,8928 ,84610718 ,2677 ,4325 ,15709822 ,147 ,882 ,1757616 ,1878 ,2838 ,1566295 ,32648 ,481201 ,787815351 ,11468 ,123484 ,370160906 ,32521 ,1693825 ,1064402112 
,　　皮膚及び皮下組織の感染症,9493 ,119328 ,9493 ,594093 ,346709491 ,2242 ,2244 ,853601 ,5136 ,10085 ,3134384 ,232 ,212 ,576332 ,3493 ,72525 ,5442425 ,3368 ,9123 ,2888208 ,6227 ,282023 ,5212272 ,2426 ,19037 ,9424233 ,2018 ,44139 ,9367132 ,207 ,1443 ,269895 ,2240 ,31047 ,7867477 ,1357 ,2151 ,11590725 ,602 ,933 ,3635748 ,21 ,71 ,205410 ,477 ,633 ,320570 ,8764 ,65481 ,118956490 ,5741 ,52931 ,166871347 ,9082 ,322334 ,210832126 
,　　皮膚炎及び湿疹,9055 ,159104 ,9055 ,962219 ,373012810 ,743 ,744 ,260087 ,3480 ,7537 ,3009870 ,174 ,173 ,530734 ,4828 ,103383 ,8482797 ,2867 ,16475 ,4475211 ,7083 ,465330 ,9190514 ,3416 ,33762 ,19839315 ,2731 ,96421 ,20390337 ,747 ,6764 ,1330035 ,3900 ,73366 ,14446059 ,996 ,1758 ,29657356 ,713 ,1235 ,3745614 ,44 ,395 ,855058 ,403 ,819 ,469840 ,8218 ,146900 ,233321036 ,866 ,7109 ,22507096 ,7841 ,424245 ,268148058 
,　　その他の皮膚及び皮下組織の疾患,16608 ,334971 ,16608 ,1617739 ,821582650 ,1295 ,1299 ,447765 ,6960 ,14510 ,5094200 ,471 ,467 ,1440428 ,6639 ,170939 ,12596884 ,5030 ,23273 ,6315310 ,9308 ,677357 ,14877841 ,4400 ,55980 ,32654972 ,6282 ,179984 ,36783547 ,789 ,6644 ,1371950 ,6715 ,145957 ,39630487 ,2924 ,5019 ,43362637 ,1362 ,2157 ,8328460 ,82 ,416 ,697148 ,998 ,1386 ,775885 ,15666 ,268820 ,435537825 ,4861 ,63444 ,180782463 ,15598 ,947246 ,585421928 
,ⅩⅢ　筋骨格系及び結合組織の疾患,111109 ,1801327 ,111109 ,9930749 ,6705821446 ,9352 ,9354 ,3398105 ,65368 ,157950 ,59696075 ,2186 ,2060 ,8364712 ,39322 ,688194 ,56743564 ,41488 ,168753 ,51893684 ,64194 ,4229228 ,68632083 ,25496 ,180023 ,94170004 ,69561 ,2305630 ,482742366 ,1921 ,13244 ,2676900 ,26395 ,268841 ,69235946 ,26844 ,52174 ,1768415614 ,28528 ,59409 ,288177143 ,293 ,889 ,998594 ,4154 ,5878 ,2942856 ,102655 ,1201422 ,1996943587 ,48988 ,587006 ,1749848594 ,107655 ,5196135 ,3278748226 
,　　炎症性多発性関節障害,8539 ,121696 ,8539 ,867318 ,386861397 ,863 ,863 ,310625 ,4963 ,10658 ,3646268 ,280 ,263 ,1590942 ,3945 ,73242 ,6580592 ,3511 ,14628 ,3863970 ,5683 ,502979 ,9042197 ,2585 ,15202 ,22167443 ,3914 ,104507 ,21566500 ,115 ,759 ,148850 ,1789 ,18834 ,3544609 ,892 ,1954 ,43887043 ,798 ,1562 ,6204987 ,19 ,30 ,20930 ,532 ,742 ,358240 ,7914 ,82957 ,135579959 ,3736 ,37993 ,128393098 ,8237 ,351650 ,222571602 
,　　関節症,21959 ,373238 ,21959 ,2050483 ,1840911808 ,545 ,545 ,173615 ,15251 ,41310 ,16621851 ,286 ,263 ,790337 ,6471 ,100556 ,7583541 ,6952 ,32018 ,7120269 ,12203 ,744018 ,10305032 ,4376 ,28154 ,9360663 ,18695 ,652718 ,137461330 ,190 ,1178 ,231610 ,4945 ,36120 ,6815526 ,8475 ,21064 ,787375126 ,8366 ,19235 ,97205045 ,63 ,87 ,11990 ,516 ,695 ,354680 ,20368 ,222591 ,374748855 ,10980 ,149820 ,384625354 ,21846 ,1093771 ,699808530 
,　　脊椎障害（脊椎症を含む）,26424 ,431216 ,26424 ,2426445 ,1616635230 ,1779 ,1779 ,594618 ,16069 ,39395 ,14672629 ,462 ,429 ,1701411 ,9050 ,153027 ,11801910 ,11375 ,43464 ,16289978 ,14457 ,1043142 ,15402524 ,5570 ,38291 ,13919674 ,17909 ,596977 ,129729650 ,283 ,1513 ,317625 ,5833 ,51365 ,16524177 ,6178 ,9855 ,435804651 ,7970 ,16077 ,89464772 ,43 ,128 ,259004 ,529 ,772 ,356036 ,24817 ,286743 ,469680496 ,12081 ,143363 ,400070335 ,26169 ,1283291 ,811383256 
,　　椎間板障害,6949 ,81785 ,6949 ,471934 ,334138942 ,937 ,937 ,348934 ,4984 ,12599 ,5099758 ,63 ,55 ,139366 ,2479 ,34506 ,2544998 ,3162 ,12231 ,4906507 ,4685 ,215909 ,3282278 ,1776 ,7967 ,2046647 ,4268 ,85324 ,19441126 ,45 ,211 ,41580 ,1889 ,10683 ,1607351 ,2373 ,2702 ,93069982 ,3518 ,7239 ,30580927 ,3 ,20 ,79690 ,117 ,155 ,75270 ,6454 ,47444 ,79077281 ,3572 ,33935 ,91797077 ,6887 ,218752 ,141886816 
