ïΩê¨ÇQÇUîN,é–âÔà„ó√êfó√çsà◊ï í≤ç∏,ïΩê¨ÇQÇUîNÇUåéêRç∏ï™,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ëÊÅ@ÇPï\,à„â»êfó√ÅiëçêîÅjÅ@åèêîÅEêfó√é¿ì˙êîÅEâÒêîÅEì_êîÅCèùïaï™óﬁÅAàÍî à„ó√Å|å„ä˙à„ó√ÅEîNóÓäKãâÅAêfó√çsà◊ÅiëÂï™óﬁÅjï ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
íçÅFÇPÅjÅuåèêîÅvÇÕÅAñæç◊èëÇÃêîÇ≈Ç†ÇÈÅB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
íçÅFÇQÅjÅuâÒêîÅvÇÕÅAìñäYêfó√çsà◊Ç™é¿é{Ç≥ÇÍÇΩâÑÇ◊éZíËâÒêîÇ≈Ç†ÇÈÅB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
íçÅFÇRÅjëçêîÇ…ÇÕÅAÅuó√ó{íSìñéËìñìôÅvÅAÅuçáéZñÚç‹óøÅvÅAÅuï‚ê≥ì_êîÅvÇä‹ÇﬁÅB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
íçÅFÇSÅjëçêîÇ…ÇÕÅAì¸â@éûêHéñó√ó{ìôÇä‹Ç‹Ç»Ç¢ÅB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
íçÅFÇTÅjëçêîÇ…ÇÕÅAÅuá]á]Å@èùïaãyÇ—éÄñSÇÃäOàˆÅvÅAÅuá]á]áTÅ@åíçNèÛë‘Ç…âeãøÇãyÇ⁄Ç∑óvàˆãyÇ—ï€åíÉTÅ[ÉrÉXÇÃóòópÅvÅAÅuá]á]áUÅ@ì¡éÍñ⁄ìIópÉRÅ[ÉhÅvÅAÅuïsè⁄ÅvÇä‹ÇﬁÅB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,åèêî,êfó√é¿ì˙êî,ëçêî,,èâ   ÅE  çƒ êf,,à„ äw ä« óù ìô,,ç›Å@ëÓÅ@à„Å@ó√,,åüÅ@Å@Å@Å@Å@ç∏,,âÊÅ@ëúÅ@êfÅ@íf,,ìäÅ@Å@Å@Å@Å@ñÚ,,íçÅ@Å@Å@Å@Å@éÀ,,ÉäÉnÉrÉäÉeÅ[ÉVÉáÉì,,ê∏ê_â»êÍñÂó√ñ@,,èàÅ@Å@Å@Å@Å@íu,,éËÅ@Å@Å@Å@Å@èp,,ñÉÅ@Å@Å@Å@Å@êå,,ï˙ éÀ ê¸ é° ó√,,ïa  óù  êf  íf,,ì¸  â@  óø  ìô,,êfífåQï™óﬁÇ…ÇÊÇÈïÔäáï]âøìô,,ì¸â@éûêHéñó√ó{ìô(ï åfÅFâ~),
,55Å`59çŒ,325809,405556,3285673,420474930,392659,50587098,82727,6266883,2134,5137387,1735070,138509271,8838,3786638,990392,43415810,6790,22695159,4690,1036440,1038,339165,34774,9429465,9237,87508089,2396,1563007,99,122220,626,285219,7946,31192023,6250,18541356,38234,25465606
,60Å`64çŒ,505067,643466,5369855,727351076,617785,74014035,133741,10213261,3272,7059576,2885709,227765343,15659,6578113,1580021,70552814,12004,43161799,11508,2609259,1622,487294,60513,16177234,15720,160004327,4793,2536930,149,199870,1077,513116,16097,75647728,10134,29926046,71778,47877846
,65Å`69çŒ,671916,863165,7320442,1008723056,828018,91925078,184613,13507798,4288,9061941,3913592,306097307,23445,9365023,2176209,96854025,17661,65340784,14901,3346775,1591,469615,90571,19149123,22075,225421281,7248,3633005,302,428830,1404,641160,22506,127120425,11976,36253674,98377,64691548
,70Å`74çŒ,887025,1161452,9863855,1386118639,1110584,114294966,249478,17528844,5160,10241963,5268803,406930649,33403,12486115,2911961,131041672,27127,96516366,19831,4218328,1906,587350,144081,23350370,31528,313052844,11289,5141211,309,539010,1790,812222,33565,209098805,12981,40086771,136261,89579882
,75Å`79çŒ,868978,1142772,9829840,1345813772,1087332,107561142,246511,16929692,6605,11769602,5086581,389379970,34455,12615420,3058998,133049227,31792,99203352,29178,6098410,1762,558014,154358,20775507,29683,277843924,11401,4684446,220,360312,1527,659336,39229,231845692,10175,32442231,148373,96123534
,80Å`84çŒ,709049,951035,8248958,1117247853,892167,86993745,206844,14636864,9905,13819389,4083158,310126612,30246,9969635,2726470,115290434,33764,84335164,34410,7072694,1695,490348,144564,18285762,24718,217753750,10115,3966141,153,246474,1180,488123,42653,210264863,6911,23485428,151370,96776406
,85çŒà»è„,540457,746000,6358638,812559308,658415,64954257,162678,12190582,25235,26955418,2808980,210272507,25480,7139920,2391825,95275683,34288,62464795,43658,8678680,1748,677647,124877,13162714,15679,120138832,6575,2303497,76,111282,708,273304,53919,172413205,4485,15524557,173960,107535196
á[Å@é®ãyÇ—ì˚ólìÀãNÇÃéæä≥,ëçêî,1396412,2489933,15204260,1620311076,2361359,377374954,371226,64629216,8842,18767073,1592833,319899915,139922,64389460,6168846,157657016,119732,35508960,55277,11943083,6035,1649889,4234535,172480082,40626,126668364,6765,16373455,486,905460,4062,1870145,41983,82350108,51654,167396373,233651,153440066
,àÍî à„ó√,1143885,2002654,11348711,1280483443,1898956,321687635,301199,54767564,4019,10678484,1231611,252718096,104803,47260929,4255639,121489117,78225,24784601,31399,7032813,4616,1264649,3333869,132887627,35557,111950765,4533,14803625,386,743570,2814,1311556,21149,46520363,39862,130526795,145169,96181462
,å„ä˙à„ó√,252527,487279,3855549,339827633,462403,55687319,70027,9861652,4823,8088589,361222,67181819,35119,17128531,1913207,36167899,41507,10724359,23878,4910270,1419,385240,900666,39592455,5069,14717599,2232,1569830,100,161890,1248,558589,20834,35829745,11792,36869578,88482,57258604
,00Å`04çŒ,262295,572645,2381093,303075476,512482,100368988,118381,34741599,133,640436,172386,35840285,8661,1577635,627564,27489808,2548,758713,6934,1595088,63,35520,908151,35498015,17382,37223243,572,2987935,1,110,61,35130,1823,7075661,3927,17204640,11844,7726966
,05Å`09çŒ,173708,275442,1458286,143891716,274019,50675617,34847,3794035,99,992120,123942,29682705,12056,2192687,370183,13758711,1078,412288,6023,1347205,70,29030,629255,23761410,4401,8505123,403,1859040,5,550,57,33410,711,2341066,1132,4504753,3662,2396980
,10Å`14çŒ,61740,83516,448408,48388141,82694,16082220,9062,805146,81,715883,43549,10601726,4192,1089260,130054,4147263,836,385086,1058,237595,62,27040,174646,7226252,1007,2952281,94,443162,-,-,29,17600,400,1206114,644,2450598,2296,1506204
,15Å`19çŒ,24301,32492,170940,21364883,31688,6477262,3595,265372,43,277667,23639,5359211,1762,690244,58022,1832593,952,344766,387,87005,80,31800,49366,2005979,382,1391867,53,205280,-,-,27,15700,415,722344,527,1643792,2157,1417024
,20Å`24çŒ,23185,32155,174399,24159647,30915,6343962,3862,288640,28,108963,27778,6109122,1977,835883,61421,2082052,1330,737800,504,114890,137,42770,44515,1731263,407,1838885,86,361623,-,-,58,33490,573,1057262,807,2471979,3461,2286492
,25Å`29çŒ,29008,41849,234629,31772031,40353,7849018,4929,366442,42,459562,37383,8015739,2806,1227155,84136,2724244,2039,898343,339,77025,213,61830,59959,2201476,546,3004871,103,410422,7,770,80,40540,587,1074475,1107,3359698,4214,2777096
,30Å`34çŒ,36312,54408,312778,38975674,52590,9660913,6344,499692,66,182160,47533,10071340,3945,1750059,115379,3562254,2797,628853,244,55870,335,90765,80461,2892779,784,3547708,144,598039,-,-,112,51004,709,1351245,1335,4032560,4820,3166778
,35Å`39çŒ,44097,67628,397417,49616584,65351,11480445,7762,633523,140,361346,59110,12228732,4963,2403438,152541,4802378,3844,934270,761,175615,323,93005,98774,3734508,899,4884901,184,676857,1,110,131,69444,988,2040145,1645,5097678,6359,4189124
,40Å`44çŒ,48845,75951,462169,57581297,72667,12346592,9166,876657,194,379615,68782,13986047,5497,2935058,192936,5689855,5156,1523836,1137,246122,410,119810,101080,4323346,958,4604864,239,817891,9,9620,240,94238,1412,2575592,2286,7050231,9010,5937676
,45Å`49çŒ,46151,72563,455378,55088466,69734,11340417,9154,906645,275,569256,66397,13165241,5645,3173571,203226,5350093,5870,1784219,656,148054,438,118470,89155,3866619,785,3951167,267,630448,52,84850,195,81766,1114,2328568,2415,7589045,8436,5541332
,50Å`54çŒ,48584,78626,512068,60251715,75162,11648035,10615,1147086,330,555874,69001,13643789,6015,3438816,237040,5808713,6562,1449606,1111,240551,391,103120,100136,4268108,910,5118294,304,805509,9,20100,191,83904,1429,2900462,2860,9019734,10195,6785188
,55Å`59çŒ,57145,95180,641197,72427013,90791,13322155,13006,1498034,422,896602,81464,15743700,7566,4109751,302088,7021797,7628,1878566,1612,354009,464,109570,128916,5863743,1178,5724697,329,920642,32,47150,218,95256,1921,3693377,3562,11137746,13454,8948720
,60Å`64çŒ,81545,141090,968242,106540335,134584,18457170,19329,2401843,602,1368396,114320,22033153,11373,6293924,453829,10321707,10609,3300788,3061,685031,534,146554,209213,9696918,1648,8001405,469,1178646,52,68120,406,183906,2801,5589809,5383,16811335,19454,13016656
,65Å`69çŒ,96813,174511,1248829,128088135,167589,21476336,23922,3048057,806,1737417,139021,26055841,13228,7342102,591406,12690767,12634,4396526,3579,774828,608,134020,283523,12584241,2103,10665230,576,1510630,46,142080,525,247593,3204,6343222,6058,18935087,22909,15296098
,70Å`74çŒ,115244,216430,1580131,152311434,209085,25298764,28622,3779322,989,2097697,166663,31784633,16077,8676872,725610,15383016,15124,5851050,4976,1091050,531,131185,398176,16236671,2292,11786452,756,1459705,172,370110,519,245220,4025,7835491,6504,20250245,26589,17606444
,75Å`79çŒ,105073,202050,1576430,136840372,195483,23082255,28289,3804294,1068,2225592,151265,28678679,14511,7574996,760665,15132861,16548,4794705,7681,1614136,546,132520,386718,15214087,1936,7213566,768,903109,59,104130,561,254844,4899,9113023,5431,16996621,26398,17445614
,80Å`84çŒ,81858,158433,1273961,106277938,151835,18103038,23143,3241881,1216,2248932,118112,21969245,11565,5595926,632652,11565219,13826,3196155,6429,1322888,456,125625,302281,12350857,1618,3937474,786,409839,27,35540,416,181700,6070,10525326,3528,11097855,25507,16702298
,85çŒà»è„,60508,114964,907905,83660219,104337,13361767,17198,2530948,2308,2949555,82488,14930727,8083,3482083,470094,8293685,10351,2233390,8785,1776121,374,117255,190210,9023810,1390,2316336,632,194678,14,22220,236,105400,8902,14576926,2503,7742776,32886,20693376
á\Å@èzä¬äÌånÇÃéæä≥,ëçêî,12144317,23364778,364540926,38440139186,17098513,2008127955,14471915,2664949414,856197,1231902205,28009089,3170917907,3319769,1412870833,279675070,4351324580,2425244,838391150,9561277,2298291508,113891,44342281,3016331,1638033545,144364,5570324283,199819,319340142,7210,10287132,107183,46444512,3996310,6817086215,1536969,6012884303,15989596,9856329260
,àÍî à„ó√,6983707,10838336,183605686,17811699223,9208261,1113209176,8067636,1480081976,152361,312587368,14323349,1702379096,1523418,734381700,142885136,2302917222,645905,329760046,3951250,969651523,60551,21460428,957629,808485077,76957,3261547482,63949,190681807,4147,6323322,61328,27401393,979800,1852773308,643160,2695285710,4448139,2909102954
,å„ä˙à„ó√,5160610,12526442,180935240,20628439963,7890252,894918779,6404279,1184867438,703836,919314837,13685740,1468538811,1796351,678489133,136789934,2048407358,1779339,508631104,5610027,1328639985,53340,22881853,2058702,829548468,67407,2308776801,135870,128658335,3063,3963810,45855,19043119,3016510,4964312907,893809,3317598593,11541457,6947226306
,00Å`04çŒ,7232,14005,81924,43071708,8044,1553739,4379,1329954,333,1972541,14924,4563803,4037,993951,41186,763799,897,957019,1944,468805,6,1920,1183,497624,197,4086778,170,966738,32,4180,11,6140,2278,9604338,2240,15279166,8611,5577116
,05Å`09çŒ,9647,14308,79267,28620294,12134,2328084,2914,567222,184,1776277,18416,5225471,5389,1422539,33860,969855,502,526372,2169,509530,57,26240,1088,342409,139,3888278,96,583389,5,1430,14,8440,1232,4280551,1037,6108042,4371,2875958
,10Å`14çŒ,16613,24402,144466,41786613,21327,3855804,4927,978484,246,3151384,36189,8452187,8051,2479995,65382,2248819,667,1359779,2932,719900,366,163385,925,186326,111,3458135,99,510994,5,660,14,6470,1619,5098356,1605,9114197,6835,4482332
,15Å`19çŒ,22761,32672,200450,55303804,29111,5707959,5510,944705,251,2101341,59509,15805930,13929,3877860,78835,2732943,997,3059482,5736,1396430,702,278800,1662,802177,361,6669180,96,519313,8,53440,96,49296,1920,3609031,1726,7691757,8563,5676900
,20Å`24çŒ,18632,29178,231138,63726272,23703,4279083,7736,1252180,459,3775963,55722,9182457,9390,4079053,116974,3539125,1507,2708973,6173,1505782,644,224969,2719,1550639,680,14078436,225,1469619,27,10140,286,125694,2418,4972789,2475,10969719,11903,7883612
,25Å`29çŒ,31236,51410,444916,97063394,39754,6571564,16383,2689547,748,2643926,85426,12964411,12694,5850911,258877,6229133,2691,4441781,10434,2573127,1256,420819,5675,4752598,1202,19928088,426,1601807,35,37280,501,220294,5069,9306564,3733,16809048,21893,14378794
,30Å`34çŒ,53696,88022,849110,161626341,68547,10519573,34212,5979345,1434,5025921,138679,20459226,18739,9071956,524297,12297233,4683,6533930,29381,7254574,1760,610492,9526,8477629,1635,29589580,776,3135408,42,39030,766,305614,8416,16009671,6208,26283785,36711,24323880
,35Å`39çŒ,106581,168002,1947368,298356488,137693,19415484,86896,15914781,2907,7475691,246559,34111393,31796,16036995,1323180,25932738,7113,7674365,60365,14846285,2902,1033265,16295,17671067,2237,55448728,1174,4015034,129,162050,1157,477494,15478,29312999,11463,48710350,68589,45916486
,40Å`44çŒ,218918,332915,4473724,587337946,281996,37280157,210683,39527744,5722,12761578,452356,59455636,52896,27398504,3239537,59747691,12911,12007757,125585,31158289,4686,1649542,29412,38058690,3365,106131947,1929,7389791,216,270700,2039,849953,27376,54167221,23003,99165302,129326,87494492
,45Å`49çŒ,359674,536251,7961385,908663213,458328,58658084,380872,71293188,8209,17941412,677990,83846093,72351,37938851,5993256,105775237,22710,17078598,210091,51916860,5505,1911236,43627,56237646,4191,165135313,2654,10563378,258,331780,3007,1271644,45665,87397139,32619,141258341,202104,136860544
,50Å`54çŒ,560184,821203,13198298,1320850607,709425,88085788,625301,116000040,11921,25873066,995074,118584852,99739,50880428,10234859,173745344,34663,23239736,290206,71621869,6486,2264833,65268,79497044,5322,237748654,3905,13909170,207,329560,4279,1758865,66712,126826459,44886,190192844,291679,198206776
,55Å`59çŒ,816127,1199535,20327241,1902453641,1035246,125696374,941011,173851891,16494,34288291,1468306,170945183,141848,69819204,15966217,264024304,51941,33687046,415606,102191685,7129,2504417,99295,115920482,7482,327031475,5717,19802592,398,653790,5916,2637215,100717,189682701,63855,269166451,431837,294004886
,60Å`64çŒ,1319990,1993011,34700712,3248577972,1702841,202485068,1553772,286166883,27193,55159846,2585022,296552442,253092,122241138,27280514,438878160,97768,55163325,687564,168788790,9409,3389824,179719,195969503,13064,590090930,9683,33106230,689,1017072,10241,4665250,180593,334466254,109432,459980782,758462,517796064
,65Å`69çŒ,1682641,2662204,46906635,4462638812,2226114,260528909,2014002,369856745,39600,76436003,3543679,405617052,360827,172128213,36815443,579665105,157835,76544943,999285,244635525,11370,4148749,257360,237219685,18022,815210367,14425,45364295,978,1599424,15004,6863758,272016,500406881,160311,665932876,1260221,791858068
,70Å`74çŒ,1861073,3264226,56231662,5567708522,2661062,305793625,2292136,424643203,55236,101093421,4322243,500118978,489637,230269441,43777823,676391812,279420,103929381,1293062,313583614,11572,4217745,389147,260277753,22529,1032733336,25112,57154938,1261,2044228,18940,8554875,382382,693169074,209820,853147087,1725796,1079656450
,75Å`79çŒ,1821465,3604229,60178757,6043394323,2776273,315519829,2298535,423245518,84459,138770636,4547941,516053913,554167,242781495,46524576,704184397,431039,127803365,1572756,378319820,13772,5436155,503830,234625899,23339,973605296,38405,54387724,1458,1974816,18757,8346811,543622,952142593,245628,965757320,2324175,1437296860
,80Å`84çŒ,1596293,3657173,56982379,5975099643,2530060,286798981,2041858,374236876,151288,207710395,4228584,460971876,551397,214192810,43539180,649855709,551635,147008607,1702646,405682909,15376,6596096,576827,195430550,20477,724396402,47943,42148836,925,1290748,15201,6325603,746877,1261082967,261858,990768684,2983407,1816886006
,85çŒà»è„,1641554,4872032,59601494,7633859593,2376855,273049850,1950788,356471108,449513,533944513,4532470,448007004,639790,201407489,43861074,644343176,766265,214666691,2145342,501117714,20893,9463794,832773,190515824,20011,461093360,46984,22710886,537,466804,10954,3971096,1591920,2535550627,355070,1236548552,5715113,3385154036
á]Å@åƒãzäÌånÇÃéæä≥,ëçêî,11777338,20024102,150256859,18248990964,15868360,3004502881,7488416,1554344226,257676,766694630,13578827,1628213355,2270096,511025286,89706134,2096136588,1702412,648239028,1624498,334791915,71339,24670191,14858653,755439691,68475,387502356,59632,87909157,4463,7359486,54538,20928666,1636012,2938991261,1006588,3481094128,6334436,3980761210
,àÍî à„ó√,10599790,15985249,112276949,11016335919,13895278,2761954831,6421792,1364985320,81538,267501539,9698573,1252154766,1592492,328600366,66288089,1684219016,843339,331904742,319811,66839518,55692,19087044,12275370,460948522,49142,294523746,30787,73450953,3124,4767628,36177,14561799,299471,626781133,385790,1463294361,1589299,1040765244
,å„ä˙à„ó√,1177548,4038853,37979910,7232655045,1973082,242548050,1066624,189358906,176138,499193091,3880254,376058589,677604,182424920,23418045,411917572,859073,316334286,1304687,267952397,15647,5583147,2583283,294491169,19333,92978610,28845,14458204,1339,2591858,18361,6366867,1336541,2312210128,620798,2017799767,4745137,2939995966
,00Å`04çŒ,2408015,4230423,14513281,2594951715,2685233,663952417,2429550,898753875,2069,11449435,1132779,155555821,101357,13652039,6032146,211775528,44109,12291805,13858,3242738,186,87700,1939236,60922804,12483,24200934,863,3898836,22,2530,260,139390,22581,93893181,96403,441088892,229564,149366922
,05Å`09çŒ,1348509,1933877,10953964,961585467,1919414,393252719,591555,75298607,1826,12066515,828146,125144312,102683,13812536,5487734,180343459,28635,6030780,13245,3019399,796,343120,1953792,52376369,4234,7691787,674,3061332,10,1320,255,130320,6105,20700362,14826,68231176,41540,27080592
,10Å`14çŒ,742459,951516,6323732,501747030,943709,190831787,282828,27703677,1309,12938239,521068,77303715,68160,10101826,3527247,100949031,26466,7788773,6324,1419974,965,380450,932485,24394874,1856,3928202,204,979582,10,33990,135,63050,4878,14185466,6072,28693436,21728,14117866
,15Å`19çŒ,386214,478581,3386307,312927475,467779,105621614,140360,9665253,942,6657099,346626,44616396,54847,9308185,1978427,53961134,25565,7745981,5410,1171589,1162,463770,349714,9278565,1418,19926182,997,5755828,23,61940,495,234902,4244,9601813,8281,28834134,26416,17213514
,20Å`24çŒ,362335,453682,3228818,312037871,439690,102762471,129837,8225726,896,4487421,366894,46757687,64938,11129886,1832022,51297777,32673,8689945,3698,785499,1942,646055,337790,9194461,1668,18421592,1206,6094178,8,6360,934,403357,4685,10265921,9909,32854936,32167,20968830
,25Å`29çŒ,465266,594409,4205783,378592015,576448,129351345,165688,11134305,1434,5525787,456153,59720434,84092,14494707,2368141,66929256,42376,9880287,3973,863886,3348,1133514,483904,13022416,2066,17075918,1224,5487604,22,18750,1371,519210,5975,12044319,9551,31370525,34588,22374322
,30Å`34çŒ,602161,787360,5567225,472101980,765816,163664424,215441,15930187,1966,5586374,559955,73502152,110765,19349577,3127067,89136359,52027,14217814,4243,871783,4548,1599795,702747,19022653,2238,16524768,1238,4770823,42,32120,1918,679794,7354,14443367,9839,32731129,39993,26072144
,35Å`39çŒ,681729,904729,6721896,542302369,884519,179719610,258221,21862992,3516,7914821,619260,80975217,125157,22617911,3893478,107113051,60000,19489277,5200,1082651,6128,2088047,841830,24364016,2423,18541845,1627,4751517,69,89670,2198,810975,8360,16437037,9896,34392608,42845,27989142
,40Å`44çŒ,631282,850217,6881811,541393275,830160,159739890,270878,27009440,5194,11074175,596675,77613642,115505,22651469,4213867,109663977,60583,21497178,8231,1712395,6697,2268625,746230,25134356,2451,19034937,1869,4849899,154,183748,2427,976112,9501,18870843,11379,39088620,49545,32718512
,45Å`49çŒ,493391,680482,6137745,466430865,660217,118875700,244482,28038815,6331,13857069,499618,63899402,89868,19047585,3989433,95692383,54069,19719400,9702,2032525,6454,2301043,549530,22097144,1988,17948193,1946,4139878,160,240990,2452,977344,10902,20429234,10584,37066695,51426,34044298
,50Å`54çŒ,441993,635013,6262124,473294854,609048,103192126,248614,30976803,6889,16439840,491736,61218940,86930,19551099,4212579,93956298,55006,22673924,12638,2572656,5382,1747632,498268,25021789,2154,17848390,2372,4609057,238,474750,2581,1079430,14431,26197842,13222,45700947,67477,44818922
,55Å`59çŒ,445982,671602,6993865,555041732,632559,102095032,276561,36541336,8031,21565387,562202,67799758,100794,23918718,4745122,102187229,60228,29318354,20715,4244431,4950,1705053,533045,31125526,2439,21040485,2598,5160408,326,475850,3155,1273700,21714,38630024,19416,67883760,98852,65783762
,60Å`64çŒ,532151,862372,9226334,814226181,785540,119407234,358300,50576960,11595,34778692,792257,93273319,144777,36146129,6201928,129946163,82115,44286058,43349,8967577,5115,1772017,709542,50388658,3341,29139193,3354,6746116,737,1150472,4977,1993234,42391,77496056,36962,128058261,192937,129399100
,65Å`69çŒ,540106,958094,10569276,1028284656,836248,117600662,396800,59645274,15468,54761929,929611,108122745,167714,44901855,7097492,144447241,99811,53385001,73833,15323911,4985,1610548,806813,61963016,4068,32482615,4273,7190569,567,942928,6087,2490480,67724,123426440,57764,199885595,316340,204304696
,70Å`74çŒ,545664,1115568,12389581,1352433853,912800,117739006,435547,69316319,22118,85199235,1113467,127828674,194079,53028996,8224812,160865218,141679,67150202,138082,28389436,4500,1413926,976741,73855238,5057,34696113,6997,6830471,783,1180990,7387,2945329,114726,209243352,90764,312653796,511292,328468572
,75Å`79çŒ,459894,1128017,12327537,1603880671,805920,98708634,399190,66356017,30156,111430479,1131578,122142197,193609,53372028,8103057,149664794,185991,71824908,226090,46544026,4651,1566205,905711,76223994,5155,30187999,9295,5826310,538,923176,6801,2589631,195402,347331627,124277,419089803,793598,503148870
,80Å`84çŒ,358765,1131946,11494324,1935105808,630290,76162862,333291,58075162,44233,139366281,1115607,110568098,193255,52344486,7309084,128317872,236656,83500766,349623,71799515,4839,1708334,771402,76385145,5581,28028591,10245,4679280,512,1110792,5711,2018033,317625,554683070,166293,546288307,1183038,740030148
,85çŒà»è„,331422,1656214,13073256,3402653147,482970,61825348,311273,59233478,93703,211595852,1515195,132170846,271566,71596254,7362498,119889818,414423,148748575,686284,140747924,4691,1834357,819873,100668667,7855,30784612,8650,3077469,242,429110,5394,1604375,777414,1331111307,311150,987181508,2601090,1592860998
á]áTÅ@è¡âªäÌånÇÃéæä≥,ëçêî,5340010,10059393,126144625,14671558580,7904593,1017844845,4888470,866470445,211503,375931387,13832852,1955412586,1341480,511152390,91471758,1459733035,1461431,880641504,918060,185447004,185367,63329543,1360265,447721505,139425,1302584046,152808,254176900,8826,15641715,400514,219526325,1043783,2298416522,822729,2815915153,4059226,2641326670
,àÍî à„ó√,3811486,6356650,77530054,8974545747,5387851,734200278,3212749,563449209,64504,168058601,9536835,1414672245,821660,330790529,55362169,933164946,710706,641046371,290139,58880277,155946,52531817,652429,245628894,86536,808577419,78639,176068995,5975,10874035,319873,176275671,397541,1089870713,446026,1569282492,1695939,1133939356
,å„ä˙à„ó√,1528524,3702743,48614571,5697012833,2516742,283644567,1675721,303021236,146999,207872786,4296017,540740341,519820,180361861,36109589,526568089,750725,239595133,627921,126566727,29421,10797726,707836,202092611,52889,494006627,74169,78107905,2851,4767680,80641,43250654,646242,1208545809,376703,1246632661,2363287,1507387314
,00Å`04çŒ,83241,137837,448439,161155128,78554,19774025,78811,30395130,468,2482507,65024,8190993,9513,1640503,188700,5051904,3872,2078889,2875,679552,19,9760,8597,1441187,1064,12659264,804,4555459,18,1980,110,63500,4545,42653062,5416,29442920,16470,10694870
,05Å`09çŒ,45912,66852,333426,80271869,61703,14471397,19549,2470654,429,2809339,52563,5852563,7527,1498252,169663,4741267,3005,1397612,2682,611370,328,136180,8906,705256,492,6170684,668,3571799,9,6883,257,138830,1912,15330645,3729,20336798,9513,6270414
,10Å`14çŒ,44459,66947,428420,96456862,58823,12316913,20403,2498715,446,3856861,72889,7927728,10813,2808416,238362,5979746,4485,2563786,2325,505769,1082,492695,7240,789711,721,9140409,1005,5250505,1,220,695,380918,3040,10518315,6089,31418831,15641,10326866
,15Å`19çŒ,58441,89353,700688,127080269,77757,15416922,28573,3673879,487,2910062,131791,15381336,15653,4979299,407840,9239452,8719,15003015,3057,642780,2949,1310014,7809,2198952,1043,10516544,1120,4792623,21,4690,1755,981490,4517,11345643,7593,28679375,20381,13534900
,20Å`24çŒ,87554,133642,1135890,189921590,114252,21913160,45309,5796944,812,5076513,219882,28717278,18991,6346079,678367,15234066,14487,29505660,2874,576169,6033,2028925,11199,3058938,1515,13310221,1370,4718924,27,20110,3948,2125014,7504,17070463,9312,34424125,30365,19909088
,25Å`29çŒ,131131,205428,1818259,279123693,168152,29637455,72762,9712990,1159,5815908,309563,43158040,25000,8637919,1152559,23575423,21679,49015788,3113,631960,11022,3707745,17019,5169744,2266,20955960,2229,6747536,73,94900,6976,3621084,12882,25297887,11780,43282476,47178,30044942
,30Å`34çŒ,169001,266980,2466123,347524514,219309,36125785,99694,13930332,1523,7130228,394810,56877553,30961,11009184,1605217,31252152,28009,55337575,3540,696148,14174,4879883,23148,6387658,2964,28007444,2915,7550403,81,135160,10015,5267530,15563,30936546,14186,51966656,56707,36124704
,35Å`39çŒ,219115,345337,3412122,462391116,294763,45497291,139437,21508419,2490,9765040,536078,80786700,42033,15641679,2244445,43663530,34963,59858451,6613,1343616,17911,6031618,29672,10112128,4032,37196413,3982,10225320,93,172030,17475,9367969,18949,42341020,19180,68824784,71449,46624520
,40Å`44çŒ,269681,429888,4559518,598742282,375600,54417979,189585,31177622,3433,11609409,675601,104718071,54254,21388091,3063531,57688259,44355,64439339,10609,2188025,20636,6949920,35503,14356800,5329,50300701,5179,12836253,228,316500,25863,14056746,22537,55879074,27244,96274452,93939,62860398
,45Å`49çŒ,283912,456925,5296105,634441667,401041,55228424,220579,37542371,4334,12787026,714030,110382305,56199,22962093,3684637,65629725,49678,54057155,14569,3003466,17660,5911966,39923,18880334,6010,54508182,5817,13101531,355,574670,28608,15682572,23804,62140684,28821,101938303,100501,67690116
,50Å`54çŒ,315392,512165,6322756,715011567,445445,58802416,263591,45604114,5146,13710918,790505,122639109,64007,26789604,4510313,77117586,55403,46422935,17691,3576802,15174,5036648,46525,23856897,7209,63524275,6134,13516962,487,715304,32438,17813963,28622,78338431,34050,117698859,123233,83280476
,55Å`59çŒ,365628,597305,7879358,869442488,511587,65165580,323641,56635150,6805,16259027,933963,143134569,74210,32279601,5736534,95408956,62923,47441516,27225,5565975,13163,4381971,55424,31725859,8958,82643097,7060,15820934,485,667020,36929,20532400,37251,102963096,43181,148662473,162726,110557304
,60Å`64çŒ,508214,855585,11624200,1277444207,723522,88524888,472049,83865721,10293,22170957,1353502,203902818,113094,48833520,8508432,138286037,92394,65282406,46867,9643759,13310,4301222,92082,53044925,13414,122481561,9809,21896834,1014,1965054,49142,27179631,60395,165624738,64738,220187093,255329,173375954
,65Å`69çŒ,594484,1035075,14526748,1552871827,870091,103014823,578645,103141301,13563,28305899,1611859,238597363,139899,60268133,10752965,170114179,121242,74569532,61737,12666834,12791,4204388,121133,59708533,15878,148590408,12757,26239883,1494,2980536,54219,30422876,76214,209976334,82162,279839785,334417,223315772
